"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"05.01.2017 08:00 - 05.01.2017 09:00","N/A","1172","n/e","0"
"05.01.2017 09:00 - 05.01.2017 10:00","N/A","912","n/e","0"
"05.01.2017 10:00 - 05.01.2017 11:00","N/A","852","n/e","0"
"05.01.2017 11:00 - 05.01.2017 12:00","N/A","852","n/e","0"
"05.01.2017 12:00 - 05.01.2017 13:00","N/A","852","n/e","0"
"05.01.2017 13:00 - 05.01.2017 14:00","N/A","798","n/e","0"
"05.01.2017 14:00 - 05.01.2017 15:00","N/A","790","n/e","0"
"05.01.2017 15:00 - 05.01.2017 16:00","N/A","623","n/e","0"
"05.01.2017 16:00 - 05.01.2017 17:00","N/A","483","n/e","0"
"05.01.2017 17:00 - 05.01.2017 18:00","N/A","562","n/e","0"
"05.01.2017 18:00 - 05.01.2017 19:00","N/A","710","n/e","0"
"05.01.2017 19:00 - 05.01.2017 20:00","N/A","725","n/e","0"
"05.01.2017 20:00 - 05.01.2017 21:00","N/A","1057","n/e","0"
"05.01.2017 21:00 - 05.01.2017 22:00","N/A","1135","n/e","0"
"05.01.2017 22:00 - 05.01.2017 23:00","N/A","1029","n/e","0"
"05.01.2017 23:00 - 06.01.2017 00:00","N/A","1205","n/e","0"
"06.01.2017 00:00 - 06.01.2017 01:00","N/A","1010","n/e","0"
"06.01.2017 01:00 - 06.01.2017 02:00","N/A","965","n/e","0"
"06.01.2017 02:00 - 06.01.2017 03:00","N/A","979","n/e","0"
"06.01.2017 03:00 - 06.01.2017 04:00","N/A","975","n/e","0"
"06.01.2017 04:00 - 06.01.2017 05:00","N/A","975","n/e","0"
"06.01.2017 05:00 - 06.01.2017 06:00","N/A","945","n/e","0"
"06.01.2017 06:00 - 06.01.2017 07:00","N/A","660","n/e","0"
"06.01.2017 07:00 - 06.01.2017 08:00","N/A","869","n/e","0"
"06.01.2017 08:00 - 06.01.2017 09:00","N/A","466","n/e","0"
"06.01.2017 09:00 - 06.01.2017 10:00","N/A","1105","n/e","0"
"06.01.2017 10:00 - 06.01.2017 11:00","N/A","825","n/e","0"
"06.01.2017 11:00 - 06.01.2017 12:00","N/A","755","n/e","0"
"06.01.2017 12:00 - 06.01.2017 13:00","N/A","955","n/e","0"
"06.01.2017 13:00 - 06.01.2017 14:00","N/A","920","n/e","0"
"06.01.2017 14:00 - 06.01.2017 15:00","N/A","885","n/e","0"
"06.01.2017 15:00 - 06.01.2017 16:00","N/A","850","n/e","0"
"06.01.2017 16:00 - 06.01.2017 17:00","N/A","736","n/e","0"
"06.01.2017 17:00 - 06.01.2017 18:00","N/A","725","n/e","0"
"06.01.2017 18:00 - 06.01.2017 19:00","N/A","725","n/e","0"
"06.01.2017 19:00 - 06.01.2017 20:00","N/A","698","n/e","0"
"06.01.2017 20:00 - 06.01.2017 21:00","N/A","644","n/e","0"
"06.01.2017 21:00 - 06.01.2017 22:00","N/A","985","n/e","0"
"06.01.2017 22:00 - 06.01.2017 23:00","N/A","940","n/e","0"
"06.01.2017 23:00 - 07.01.2017 00:00","N/A","920","n/e","0"
"07.01.2017 00:00 - 07.01.2017 01:00","N/A","1025","n/e","0"
"07.01.2017 01:00 - 07.01.2017 02:00","N/A","990","n/e","0"
"07.01.2017 02:00 - 07.01.2017 03:00","N/A","781","n/e","0"
"07.01.2017 03:00 - 07.01.2017 04:00","N/A","910","n/e","0"
"07.01.2017 04:00 - 07.01.2017 05:00","N/A","805","n/e","0"
"07.01.2017 05:00 - 07.01.2017 06:00","N/A","820","n/e","0"
"07.01.2017 06:00 - 07.01.2017 07:00","N/A","550","n/e","0"
"07.01.2017 07:00 - 07.01.2017 08:00","N/A","627","n/e","0"
"07.01.2017 08:00 - 07.01.2017 09:00","N/A","1250","n/e","0"
"07.01.2017 09:00 - 07.01.2017 10:00","N/A","472","n/e","0"
"07.01.2017 10:00 - 07.01.2017 11:00","N/A","642","n/e","0"
"07.01.2017 11:00 - 07.01.2017 12:00","N/A","635","n/e","0"
"07.01.2017 12:00 - 07.01.2017 13:00","N/A","884","n/e","0"
"07.01.2017 13:00 - 07.01.2017 14:00","N/A","974","n/e","0"
"07.01.2017 14:00 - 07.01.2017 15:00","N/A","746","n/e","50"
"07.01.2017 15:00 - 07.01.2017 16:00","N/A","831","n/e","0"
"07.01.2017 16:00 - 07.01.2017 17:00","N/A","675","n/e","0"
"07.01.2017 17:00 - 07.01.2017 18:00","N/A","720","n/e","0"
"07.01.2017 18:00 - 07.01.2017 19:00","N/A","920","n/e","0"
"07.01.2017 19:00 - 07.01.2017 20:00","N/A","955","n/e","0"
"07.01.2017 20:00 - 07.01.2017 21:00","N/A","925","n/e","0"
"07.01.2017 21:00 - 07.01.2017 22:00","N/A","910","n/e","0"
"07.01.2017 22:00 - 07.01.2017 23:00","N/A","900","n/e","0"
"07.01.2017 23:00 - 08.01.2017 00:00","N/A","840","n/e","0"
"08.01.2017 00:00 - 08.01.2017 01:00","N/A","1000","n/e","0"
"08.01.2017 01:00 - 08.01.2017 02:00","N/A","1010","n/e","0"
"08.01.2017 02:00 - 08.01.2017 03:00","N/A","986","n/e","0"
"08.01.2017 03:00 - 08.01.2017 04:00","N/A","930","n/e","0"
"08.01.2017 04:00 - 08.01.2017 05:00","N/A","958","n/e","0"
"08.01.2017 05:00 - 08.01.2017 06:00","N/A","970","n/e","0"
"08.01.2017 06:00 - 08.01.2017 07:00","N/A","920","n/e","0"
"08.01.2017 07:00 - 08.01.2017 08:00","N/A","865","n/e","0"
"08.01.2017 08:00 - 08.01.2017 09:00","N/A","504","n/e","0"
"08.01.2017 09:00 - 08.01.2017 10:00","N/A","738","n/e","0"
"08.01.2017 10:00 - 08.01.2017 11:00","N/A","761","n/e","0"
"08.01.2017 11:00 - 08.01.2017 12:00","N/A","757","n/e","0"
"08.01.2017 12:00 - 08.01.2017 13:00","N/A","777","n/e","0"
"08.01.2017 13:00 - 08.01.2017 14:00","N/A","832","n/e","0"
"08.01.2017 14:00 - 08.01.2017 15:00","N/A","812","n/e","0"
"08.01.2017 15:00 - 08.01.2017 16:00","N/A","772","n/e","0"
"08.01.2017 16:00 - 08.01.2017 17:00","N/A","400","n/e","0"
"08.01.2017 17:00 - 08.01.2017 18:00","N/A","550","n/e","0"
"08.01.2017 18:00 - 08.01.2017 19:00","N/A","575","n/e","0"
"08.01.2017 19:00 - 08.01.2017 20:00","N/A","555","n/e","0"
"08.01.2017 20:00 - 08.01.2017 21:00","N/A","543","n/e","0"
"08.01.2017 21:00 - 08.01.2017 22:00","N/A","692","n/e","0"
"08.01.2017 22:00 - 08.01.2017 23:00","N/A","873","n/e","0"
"08.01.2017 23:00 - 09.01.2017 00:00","N/A","997","n/e","0"
"09.01.2017 00:00 - 09.01.2017 01:00","N/A","791","n/e","0"
"09.01.2017 01:00 - 09.01.2017 02:00","N/A","857","n/e","0"
"09.01.2017 02:00 - 09.01.2017 03:00","N/A","856","n/e","0"
"09.01.2017 03:00 - 09.01.2017 04:00","N/A","825","n/e","0"
"09.01.2017 04:00 - 09.01.2017 05:00","N/A","806","n/e","0"
"09.01.2017 05:00 - 09.01.2017 06:00","N/A","807","n/e","0"
"09.01.2017 06:00 - 09.01.2017 07:00","N/A","849","n/e","0"
"09.01.2017 07:00 - 09.01.2017 08:00","N/A","500","n/e","0"
"09.01.2017 08:00 - 09.01.2017 09:00","N/A","440","n/e","0"
"09.01.2017 09:00 - 09.01.2017 10:00","N/A","500","n/e","0"
"09.01.2017 10:00 - 09.01.2017 11:00","N/A","500","n/e","0"
"09.01.2017 11:00 - 09.01.2017 12:00","N/A","500","n/e","0"
"09.01.2017 12:00 - 09.01.2017 13:00","N/A","300","n/e","0"
"09.01.2017 13:00 - 09.01.2017 14:00","N/A","300","n/e","0"
"09.01.2017 14:00 - 09.01.2017 15:00","N/A","300","n/e","0"
"09.01.2017 15:00 - 09.01.2017 16:00","N/A","400","n/e","0"
"09.01.2017 16:00 - 09.01.2017 17:00","N/A","0","n/e","166"
"09.01.2017 17:00 - 09.01.2017 18:00","N/A","0","n/e","200"
"09.01.2017 18:00 - 09.01.2017 19:00","N/A","0","n/e","200"
"09.01.2017 19:00 - 09.01.2017 20:00","N/A","0","n/e","200"
"09.01.2017 20:00 - 09.01.2017 21:00","N/A","171","n/e","0"
"09.01.2017 21:00 - 09.01.2017 22:00","N/A","379","n/e","100"
"09.01.2017 22:00 - 09.01.2017 23:00","N/A","1058","n/e","0"
"09.01.2017 23:00 - 10.01.2017 00:00","N/A","928","n/e","0"
"10.01.2017 00:00 - 10.01.2017 01:00","N/A","950","n/e","0"
"10.01.2017 01:00 - 10.01.2017 02:00","N/A","910","n/e","0"
"10.01.2017 02:00 - 10.01.2017 03:00","N/A","1007","n/e","0"
"10.01.2017 03:00 - 10.01.2017 04:00","N/A","970","n/e","0"
"10.01.2017 04:00 - 10.01.2017 05:00","N/A","970","n/e","0"
"10.01.2017 05:00 - 10.01.2017 06:00","N/A","930","n/e","0"
"10.01.2017 06:00 - 10.01.2017 07:00","N/A","725","n/e","0"
"10.01.2017 07:00 - 10.01.2017 08:00","N/A","719","n/e","0"
"10.01.2017 08:00 - 10.01.2017 09:00","N/A","700","n/e","0"
"10.01.2017 09:00 - 10.01.2017 10:00","N/A","700","n/e","0"
"10.01.2017 10:00 - 10.01.2017 11:00","N/A","700","n/e","0"
"10.01.2017 11:00 - 10.01.2017 12:00","N/A","700","n/e","0"
"10.01.2017 12:00 - 10.01.2017 13:00","N/A","700","n/e","0"
"10.01.2017 13:00 - 10.01.2017 14:00","N/A","700","n/e","0"
"10.01.2017 14:00 - 10.01.2017 15:00","N/A","700","n/e","0"
"10.01.2017 15:00 - 10.01.2017 16:00","N/A","700","n/e","0"
"10.01.2017 16:00 - 10.01.2017 17:00","N/A","700","n/e","0"
"10.01.2017 17:00 - 10.01.2017 18:00","N/A","700","n/e","0"
"10.01.2017 18:00 - 10.01.2017 19:00","N/A","700","n/e","0"
"10.01.2017 19:00 - 10.01.2017 20:00","N/A","700","n/e","0"
"10.01.2017 20:00 - 10.01.2017 21:00","N/A","800","n/e","0"
"10.01.2017 21:00 - 10.01.2017 22:00","N/A","750","n/e","0"
"10.01.2017 22:00 - 10.01.2017 23:00","N/A","930","n/e","0"
"10.01.2017 23:00 - 11.01.2017 00:00","N/A","840","n/e","0"
"11.01.2017 00:00 - 11.01.2017 01:00","N/A","705","n/e","0"
"11.01.2017 01:00 - 11.01.2017 02:00","N/A","535","n/e","0"
"11.01.2017 02:00 - 11.01.2017 03:00","N/A","515","n/e","0"
"11.01.2017 03:00 - 11.01.2017 04:00","N/A","430","n/e","0"
"11.01.2017 04:00 - 11.01.2017 05:00","N/A","405","n/e","0"
"11.01.2017 05:00 - 11.01.2017 06:00","N/A","372","n/e","0"
"11.01.2017 06:00 - 11.01.2017 07:00","N/A","700","n/e","0"
