"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"08.01.2018 14:00 - 08.01.2018 15:00","0","0","396","396"
"08.01.2018 15:00 - 08.01.2018 16:00","0","0","407","407"
"08.01.2018 16:00 - 08.01.2018 17:00","0","0","374","374"
"08.01.2018 17:00 - 08.01.2018 18:00","0","0","427","427"
"08.01.2018 18:00 - 08.01.2018 19:00","0","0","432","432"
"08.01.2018 19:00 - 08.01.2018 20:00","0","0","428","428"
"08.01.2018 20:00 - 08.01.2018 21:00","0","0","321","321"
"08.01.2018 21:00 - 08.01.2018 22:00","0","0","371","371"
"08.01.2018 22:00 - 08.01.2018 23:00","0","0","417","417"
"08.01.2018 23:00 - 09.01.2018 00:00","0","0","426","426"
"09.01.2018 00:00 - 09.01.2018 01:00","0","0","207","207"
"09.01.2018 01:00 - 09.01.2018 02:00","0","0","10","10"
"09.01.2018 02:00 - 09.01.2018 03:00","0","0","0","0"
"09.01.2018 03:00 - 09.01.2018 04:00","0","0","0","0"
"09.01.2018 04:00 - 09.01.2018 05:00","0","0","0","0"
"09.01.2018 05:00 - 09.01.2018 06:00","0","0","13","13"
"09.01.2018 06:00 - 09.01.2018 07:00","0","0","108","108"
"09.01.2018 07:00 - 09.01.2018 08:00","0","0","267","267"
"09.01.2018 08:00 - 09.01.2018 09:00","0","0","312","312"
"09.01.2018 09:00 - 09.01.2018 10:00","0","0","317","317"
"09.01.2018 10:00 - 09.01.2018 11:00","0","0","360","360"
"09.01.2018 11:00 - 09.01.2018 12:00","0","0","377","377"
"09.01.2018 12:00 - 09.01.2018 13:00","0","0","421","421"
"09.01.2018 13:00 - 09.01.2018 14:00","0","0","290","290"
"09.01.2018 14:00 - 09.01.2018 15:00","8","8","150","150"
"09.01.2018 15:00 - 09.01.2018 16:00","0","0","0","0"
