Time (CET/CEST),BZN|GB > BZN|FR Day Ahead [MW],BZN|GB > BZN|FR Total [MW],BZN|FR > BZN|GB Day Ahead [MW],BZN|FR > BZN|GB Total [MW]
05.01.2022 23:00 - 06.01.2022 00:00,0,0,2014,2014
06.01.2022 00:00 - 06.01.2022 01:00,0,0,1976,2006
06.01.2022 01:00 - 06.01.2022 02:00,0,0,2013,2013
06.01.2022 02:00 - 06.01.2022 03:00,0,0,2013,2013
06.01.2022 03:00 - 06.01.2022 04:00,0,0,2014,2014
06.01.2022 04:00 - 06.01.2022 05:00,0,0,1989,1989
06.01.2022 05:00 - 06.01.2022 06:00,138,175,1972,2049
06.01.2022 06:00 - 06.01.2022 07:00,1056,1129,551,1373
06.01.2022 07:00 - 06.01.2022 08:00,630,855,784,1986
06.01.2022 08:00 - 06.01.2022 09:00,415,415,1974,2140
06.01.2022 09:00 - 06.01.2022 10:00,336,336,2210,2263
06.01.2022 10:00 - 06.01.2022 11:00,304,304,2189,2307
06.01.2022 11:00 - 06.01.2022 12:00,444,1014,1708,2197
06.01.2022 12:00 - 06.01.2022 13:00,454,834,1635,2399
06.01.2022 13:00 - 06.01.2022 14:00,666,1065,1620,1975
06.01.2022 14:00 - 06.01.2022 15:00,724,974,1389,1914
06.01.2022 15:00 - 06.01.2022 16:00,515,765,791,1617
06.01.2022 16:00 - 06.01.2022 17:00,837,837,606,1974
06.01.2022 17:00 - 06.01.2022 18:00,932,1160,1101,2350
06.01.2022 18:00 - 06.01.2022 19:00,555,1134,1192,1727
06.01.2022 19:00 - 06.01.2022 20:00,662,1200,760,1173
06.01.2022 20:00 - 06.01.2022 21:00,497,922,1372,1803
06.01.2022 21:00 - 06.01.2022 22:00,250,628,1623,2040
06.01.2022 22:00 - 06.01.2022 23:00,150,765,1500,1950
06.01.2022 23:00 - 07.01.2022 00:00,731,2155,879,1579
07.01.2022 00:00 - 07.01.2022 01:00,616,1210,693,693
07.01.2022 01:00 - 07.01.2022 02:00,412,1349,856,1340
07.01.2022 02:00 - 07.01.2022 03:00,485,599,1490,1732
07.01.2022 03:00 - 07.01.2022 04:00,326,681,923,1283
07.01.2022 04:00 - 07.01.2022 05:00,435,805,530,1626
07.01.2022 05:00 - 07.01.2022 06:00,1053,1423,726,1573
07.01.2022 06:00 - 07.01.2022 07:00,1400,1920,800,1596
07.01.2022 07:00 - 07.01.2022 08:00,1561,2031,421,1588
07.01.2022 08:00 - 07.01.2022 09:00,2319,2319,305,1116
07.01.2022 09:00 - 07.01.2022 10:00,2175,2185,400,1919
07.01.2022 10:00 - 07.01.2022 11:00,675,777,1335,2511
07.01.2022 11:00 - 07.01.2022 12:00,79,99,1269,2089
07.01.2022 12:00 - 07.01.2022 13:00,22,22,1860,2036
07.01.2022 13:00 - 07.01.2022 14:00,0,0,2014,2014
07.01.2022 14:00 - 07.01.2022 15:00,103,103,1743,2117
07.01.2022 15:00 - 07.01.2022 16:00,80,80,1739,2044
07.01.2022 16:00 - 07.01.2022 17:00,132,132,2014,2146
07.01.2022 17:00 - 07.01.2022 18:00,19,19,1997,2033
07.01.2022 18:00 - 07.01.2022 19:00,0,0,2014,2014
07.01.2022 19:00 - 07.01.2022 20:00,0,0,2014,2014
07.01.2022 20:00 - 07.01.2022 21:00,0,0,2014,2014
07.01.2022 21:00 - 07.01.2022 22:00,0,67,2014,2014
07.01.2022 22:00 - 07.01.2022 23:00,0,0,2014,2014
07.01.2022 23:00 - 08.01.2022 00:00,0,358,2014,2014
08.01.2022 00:00 - 08.01.2022 01:00,0,0,2013,2013
08.01.2022 01:00 - 08.01.2022 02:00,0,383,2014,2014
08.01.2022 02:00 - 08.01.2022 03:00,0,90,2014,2014
08.01.2022 03:00 - 08.01.2022 04:00,0,98,2014,2014
08.01.2022 04:00 - 08.01.2022 05:00,0,157,2014,2014
08.01.2022 05:00 - 08.01.2022 06:00,341,711,1503,1536
08.01.2022 06:00 - 08.01.2022 07:00,930,1682,1465,1659
08.01.2022 07:00 - 08.01.2022 08:00,1015,2202,1593,1849
08.01.2022 08:00 - 08.01.2022 09:00,1089,2100,1483,1533
08.01.2022 09:00 - 08.01.2022 10:00,890,2719,1626,1626
08.01.2022 10:00 - 08.01.2022 11:00,178,1061,1947,1977
08.01.2022 11:00 - 08.01.2022 12:00,0,1492,2014,2014
08.01.2022 12:00 - 08.01.2022 13:00,0,225,2014,2014
08.01.2022 13:00 - 08.01.2022 14:00,0,180,2014,2014
08.01.2022 14:00 - 08.01.2022 15:00,0,0,2014,2014
08.01.2022 15:00 - 08.01.2022 16:00,0,0,2014,2014
08.01.2022 16:00 - 08.01.2022 17:00,0,0,2014,2014
08.01.2022 17:00 - 08.01.2022 18:00,0,0,2014,2014
08.01.2022 18:00 - 08.01.2022 19:00,0,0,2014,2014
08.01.2022 19:00 - 08.01.2022 20:00,0,0,2014,2014
08.01.2022 20:00 - 08.01.2022 21:00,0,0,2014,2014
08.01.2022 21:00 - 08.01.2022 22:00,0,0,2014,2014
08.01.2022 22:00 - 08.01.2022 23:00,0,0,2014,2014
08.01.2022 23:00 - 09.01.2022 00:00,0,50,1930,1955
09.01.2022 00:00 - 09.01.2022 01:00,0,290,2014,2014
09.01.2022 01:00 - 09.01.2022 02:00,0,366,2014,2014
09.01.2022 02:00 - 09.01.2022 03:00,0,367,2014,2014
09.01.2022 03:00 - 09.01.2022 04:00,0,613,2014,2014
09.01.2022 04:00 - 09.01.2022 05:00,0,296,2014,2014
09.01.2022 05:00 - 09.01.2022 06:00,0,346,2014,2014
09.01.2022 06:00 - 09.01.2022 07:00,0,890,2014,2014
09.01.2022 07:00 - 09.01.2022 08:00,134,555,1994,2004
09.01.2022 08:00 - 09.01.2022 09:00,1428,1428,2000,3442
09.01.2022 09:00 - 09.01.2022 10:00,852,962,2014,2321
09.01.2022 10:00 - 09.01.2022 11:00,0,0,2014,2014
09.01.2022 11:00 - 09.01.2022 12:00,0,0,2014,2014
09.01.2022 12:00 - 09.01.2022 13:00,0,100,2014,2014
09.01.2022 13:00 - 09.01.2022 14:00,0,88,2014,2014
09.01.2022 14:00 - 09.01.2022 15:00,0,11,2014,2014
09.01.2022 15:00 - 09.01.2022 16:00,0,16,2014,2014
09.01.2022 16:00 - 09.01.2022 17:00,317,392,1845,2147
09.01.2022 17:00 - 09.01.2022 18:00,0,0,2014,2014
09.01.2022 18:00 - 09.01.2022 19:00,0,0,2014,2014
09.01.2022 19:00 - 09.01.2022 20:00,0,0,2014,2014
09.01.2022 20:00 - 09.01.2022 21:00,0,0,1993,2008
09.01.2022 21:00 - 09.01.2022 22:00,0,0,2014,2014
09.01.2022 22:00 - 09.01.2022 23:00,0,0,1994,2009
09.01.2022 23:00 - 10.01.2022 00:00,0,0,2014,2014
10.01.2022 00:00 - 10.01.2022 01:00,168,218,960,1278
10.01.2022 01:00 - 10.01.2022 02:00,66,116,1220,1406
10.01.2022 02:00 - 10.01.2022 03:00,164,164,1252,1494
10.01.2022 03:00 - 10.01.2022 04:00,326,351,1172,1374
10.01.2022 04:00 - 10.01.2022 05:00,768,768,1163,1410
10.01.2022 05:00 - 10.01.2022 06:00,998,1163,445,447
10.01.2022 06:00 - 10.01.2022 07:00,2015,2059,45,809
10.01.2022 07:00 - 10.01.2022 08:00,1958,2028,45,726
10.01.2022 08:00 - 10.01.2022 09:00,2022,2047,45,2045
10.01.2022 09:00 - 10.01.2022 10:00,1727,1727,55,1979
10.01.2022 10:00 - 10.01.2022 11:00,1556,1606,150,1699
10.01.2022 11:00 - 10.01.2022 12:00,1754,1804,255,1704
10.01.2022 12:00 - 10.01.2022 13:00,1735,2138,295,1955
10.01.2022 13:00 - 10.01.2022 14:00,1646,1855,205,2433
10.01.2022 14:00 - 10.01.2022 15:00,1794,1824,105,1812
10.01.2022 15:00 - 10.01.2022 16:00,1880,1910,45,1689
