2019-2022;2020;2021;Mean
6;6,9;6,3;6,4
10,4;7,2;8,3;8,633333333
9,6;5;4,9;6,5
11,1;5,9;4,7;7,233333333
10,7;3,6;3,3;5,866666667
7,5;3,6;6,9;6
3,9;1,7;9,3;4,966666667
5,5;0,8;9,8;5,366666667
6,5;7,4;10,1;8
7,7;10,8;8,8;9,1
8;10,2;9,6;9,266666667
9,3;9,4;10,3;9,666666667
11;7,7;10,6;9,766666667
12,7;5,3;11,1;9,7
14,3;3,5;12,6;10,13333333
12,9;6,3;13,7;10,96666667
12,7;6,9;15,8;11,8
12,7;7;9,9;9,866666667
12;6,7;7,9;8,866666667
12,5;4,9;9,7;9,033333333
13,7;4,2;11,1;9,666666667
13,1;7,1;10,8;10,33333333
13,9;6,7;11,1;10,56666667
12,5;7,3;8,5;9,433333333
15,6;8,2;8,8;10,86666667
13,5;12,7;11,1;12,43333333
10,3;14;11,9;12,06666667
11,1;11,7;13,1;11,96666667
10,1;9,8;12,6;10,83333333
8,8;11,9;13,5;11,4
7,4;11,5;14,3;11,06666667
6,8;12,8;14,5;11,36666667
7;13,4;14,6;11,66666667
10,1;13;14,8;12,63333333
14,2;15,9;12,7;14,26666667
15,2;17;10,2;14,13333333
14,6;13;13,6;13,73333333
12,2;13,4;15,1;13,56666667
14;14,1;12,9;13,66666667
17,6;11,5;13,7;14,26666667
14,2;13,2;14,8;14,06666667
8,4;13,9;12,9;11,73333333
7,8;14,1;12,2;11,36666667
10,5;15,1;14,5;13,36666667
14,1;15,7;14,7;14,83333333
13;15,6;13,9;14,16666667
13,1;14,1;12,3;13,16666667
12,4;9,5;10;10,63333333
10,2;10,8;10,8;10,6
8,4;9,8;9,6;9,266666667
7,5;8;8,2;7,9
4,6;7,8;9,6;7,333333333
8,3;8,3;12,4;9,666666667
5,3;10,6;12,5;9,466666667
7,5;6,9;13;9,133333333
10,5;7,6;17,7;11,93333333
8,9;8,9;18,6;12,13333333
9,4;4;15,7;9,7
9;4,8;8,9;7,566666667
9,4;11,3;9,7;10,13333333
13,4;13,9;13,4;13,56666667
10,4;15,2;9,2;11,6
14,2;14,9;7,9;12,33333333
15,4;14;7,2;12,2
15,4;14;7,2;12,2
