,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
5926,46351.02026786169,60069.86955010152,57860.52666813603,56826.846116504865,58257.1138462846,54191.98034137206,56715.13034137205,53700.09204991115,53620.44204991116,53800.7144009744,44739.1202678617,53758.63034137205,54900.71955010152,50700.88034137205,53082.491211536166,53266.74204991115,51939.42634802842,54490.33034137206,41984.84090302325,49388.89121153616
5927,51153.077957415706,62834.03028205402,60193.97893618561,59939.14077669904,61398.071323612385,57900.66801332655,59775.81801332654,56626.073552978036,56057.72355297803,56530.23439745416,49439.92795741571,56711.31801332654,57995.630282054015,55463.91801332654,56902.75235185411,55436.72355297803,55606.787585194594,58308.368013326544,44079.43644910962,54189.25235185411
5928,50331.86789748267,60713.79655991458,58369.74008708229,57419.47330097088,59704.69218007951,56396.71518570059,57451.06518570059,55631.530041849706,54668.9800418497,54480.769056675585,49620.417897482665,54755.11518570059,55770.096559914586,53775.01518570059,55153.65378591809,53989.9300418497,54516.21090925027,56314.36518570059,41506.23460423756,52714.20378591809
5929,43918.628351003004,53884.246599830265,51191.92981867342,49405.85533980583,52127.00629232039,50336.33679078958,51458.18679078959,49579.79288058238,48902.092880582386,48551.2927993619,43651.328351003,49329.23679078958,49372.54659983026,47526.98679078958,48055.21650597084,48572.692880582385,47652.01183507134,50206.73679078958,33840.40799699953,45691.366505970844
5930,42613.27935456582,52146.258174221504,48777.044691837014,47722.787864077676,51063.31721447799,48794.891496469645,50402.74149646965,48142.73711070815,48033.38711070815,47959.10369843435,42325.72935456582,48329.141496469645,47695.3081742215,46085.44149646965,46508.52955783451,47676.98711070815,46010.988037124014,49163.44149646965,31570.484056494843,43997.52955783451
5931,40580.30154476891,48811.8298186586,45830.00576236875,44526.69951456311,48593.74080252856,46559.317896232635,47330.16789623263,46412.42655094789,46253.12655094788,45405.343182248806,39778.40154476891,46088.16789623263,44277.1798186586,43172.16789623263,44391.26794466334,45941.276550947885,42322.3938130975,46872.51789623263,28695.56262244085,42170.51794466334
5932,38952.8231335691,46652.88535868234,42160.01382207538,41893.205339805834,47318.40144671423,44565.13574689339,45731.535746893394,44386.30224290816,44673.852242908164,43430.557183334,38083.4231335691,44619.13574689339,41706.48535868234,41047.035746893394,42163.27716445902,44440.30224290816,40097.11763979215,45036.285746893394,26635.11620219511,40429.877164459016
5933,37649.67413713192,46858.74129206747,42958.05329960238,41844.348058252435,47667.01125002381,45270.92320105564,46674.92320105564,45330.82859906116,45669.67859906117,43107.31424958023,36733.02413713192,44849.72320105564,40412.49129206747,40375.82320105564,41496.25712051958,44909.628599061165,39235.1258193874,45459.92320105564,27709.77527347042,39554.957120519575
5934,37918.51770116004,49774.29027846412,46176.50994577812,43221.493203883496,51434.3965516534,48975.50285153308,50156.75285153308,49425.12787990427,49840.92787990427,46427.294123042266,36627.91770116004,48486.80285153308,40773.84027846412,40901.15285153308,42220.50239454152,48936.42787990427,39624.5246823361,49362.952851533075,29336.306765664172,39826.95239454153
5935,38399.38513798165,56462.56776787306,54203.52083054556,44651.622815533985,59197.35271143524,56200.88639611428,57457.736396114284,57379.65804237015,58216.65804237015,52086.1435616313,37301.835137981645,55667.63639611428,41920.36776787305,40937.78639611429,43946.90032666844,56846.40804237015,40048.6246499991,57293.03639611429,31575.941683147474,39856.40032666844
