,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
4922,34468.44811725609,36196.44811725609,30668.601547946295,30719.498117256084,38766.9651045945,45241.11635109791,48178.71635109791,39272.32824714589,34550.68029284479,42311.505825242726,21881.92654907811,17186.626549078108,43174.879620366875,41897.6151045945,44125.578247145895,38653.699738996416,-3273.2849475960684,40158.255825242726,33617.162440648644,40821.66432067193
4923,30577.400766052007,32727.950766052003,25328.550844195634,26796.050766052,37517.27024764027,43882.6819734001,47213.13197340009,37420.02564606379,33504.722984631444,39145.22961165049,17290.07530692155,12307.225306921551,40192.992094005785,41177.12024764027,42865.92564606379,37472.62772727857,-12301.904575575143,36784.07961165049,32024.602103062607,38848.31019335061
4924,27583.63698232584,30837.13698232584,21594.221269799546,24115.486982325838,36947.74415394617,41747.3255984749,44856.3755984749,35995.7255317376,33647.88708914969,36640.9004854369,17083.32965057106,11627.979650571055,38182.7620957568,41247.49415394617,41644.1255317376,37190.94645326983,-19034.88053594558,34200.100485436895,32391.861942624106,38409.31976355535
4925,25886.9057534558,30098.9057534558,19884.06476607094,22418.7557534558,37543.72542041899,41482.8898215168,44392.1398215168,36381.70904344225,35974.9850610164,34760.80242718448,18868.030301503954,12232.780301503954,37682.70152271725,42918.07542041899,42841.45904344225,38150.07632500911,-23788.053603513115,32523.85242718447,35623.44347697254,39824.541904378835
4926,27593.109898579503,34228.3598985795,18014.50398982076,23363.5598985795,39394.91090588078,40789.29335618788,43271.94335618788,36974.249625158554,40091.51281730503,40999.97766990292,25539.677082906466,15843.97708290647,37360.20776486153,47116.91090588078,46259.54962515856,41930.9194112152,-22674.89321405145,38518.67766990292,40364.43973281897,43262.801613005955
4927,26444.803504494233,36181.003504494234,12672.968849212513,21124.453504494235,38588.56621508028,38793.58698453216,40798.33698453216,34495.169925141985,43354.48480693463,46504.20904491525,30381.240380213734,16060.440380213739,34848.422545118156,49460.116215080285,48313.76992514198,43513.016994014375,-26917.024980109753,43769.109044915254,43313.00978839844,45709.467212252945
4928,19911.188145804,32201.588145804002,-858.5298290936335,13873.988145803996,29072.971414622414,29596.55833083283,31748.458330832833,19832.303034740326,38967.47311628451,43374.85909387645,25803.705879689704,8346.855879689705,24342.69272272743,41831.82141462241,36917.90303474033,32595.414804496486,-36278.513815412436,41195.959093876445,36967.6645568611,38832.665075691155
4929,4755.463664207622,17240.263664207625,-22538.52200411351,-1931.0863357923809,5524.914071355139,10467.066746495875,12829.566746495875,-12959.420262411717,24168.559168775588,29751.98074914413,6230.919107180438,-12003.530892819559,-110.00392910819937,18385.014071355145,5049.579737588283,2734.3857521989557,-54252.882103775846,27227.48074914413,20726.390691871908,19281.5720973965
4930,-12544.744533880825,95.30546611918544,-47477.52374384324,-19502.644533880826,-24211.09513101819,-16421.39147885103,-13096.341478851042,-49341.30448264275,2889.2463329349994,12594.327386003955,-25072.430269509816,-42214.73026950982,-27441.99291513783,-12017.895131018187,-31569.90448264274,-35431.27713255494,-71324.99770938704,9914.577386003955,-889.3969740184402,-5094.7969284763385
4931,-35905.674506790616,-23299.374506790613,-74420.01032917638,-42057.62450679061,-49991.70715279142,-37102.445057117555,-32721.695057117555,-78931.900678756,-19994.695955831587,-8714.703273947322,-53515.488797039725,-69560.23879703972,-47752.27544565585,-38180.557152791414,-62478.100678756,-67013.72040667821,-86461.81495925819,-11780.553273947327,-22185.52861894293,-22605.499346730518
