"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"06.01.2017 11:00 - 06.01.2017 12:00","n/e","2200","n/e","30"
"06.01.2017 12:00 - 06.01.2017 13:00","n/e","2200","n/e","0"
"06.01.2017 13:00 - 06.01.2017 14:00","n/e","1705","n/e","195"
"06.01.2017 14:00 - 06.01.2017 15:00","n/e","557","n/e","75"
"06.01.2017 15:00 - 06.01.2017 16:00","n/e","898","n/e","47"
"06.01.2017 16:00 - 06.01.2017 17:00","n/e","1719","n/e","241"
"06.01.2017 17:00 - 06.01.2017 18:00","n/e","2400","n/e","200"
"06.01.2017 18:00 - 06.01.2017 19:00","n/e","2200","n/e","0"
"06.01.2017 19:00 - 06.01.2017 20:00","n/e","2200","n/e","0"
"06.01.2017 20:00 - 06.01.2017 21:00","n/e","2200","n/e","0"
"06.01.2017 21:00 - 06.01.2017 22:00","n/e","2200","n/e","400"
"06.01.2017 22:00 - 06.01.2017 23:00","n/e","2200","n/e","254"
"06.01.2017 23:00 - 07.01.2017 00:00","n/e","2600","n/e","0"
"07.01.2017 00:00 - 07.01.2017 01:00","n/e","206","n/e","1647"
"07.01.2017 01:00 - 07.01.2017 02:00","n/e","138","n/e","1752"
"07.01.2017 02:00 - 07.01.2017 03:00","n/e","392","n/e","1314"
"07.01.2017 03:00 - 07.01.2017 04:00","n/e","446","n/e","2375"
"07.01.2017 04:00 - 07.01.2017 05:00","n/e","545","n/e","2176"
"07.01.2017 05:00 - 07.01.2017 06:00","n/e","637","n/e","2147"
"07.01.2017 06:00 - 07.01.2017 07:00","n/e","505","n/e","1060"
"07.01.2017 07:00 - 07.01.2017 08:00","n/e","715","n/e","2175"
"07.01.2017 08:00 - 07.01.2017 09:00","n/e","553","n/e","1764"
"07.01.2017 09:00 - 07.01.2017 10:00","n/e","775","n/e","2825"
"07.01.2017 10:00 - 07.01.2017 11:00","n/e","487","n/e","1797"
"07.01.2017 11:00 - 07.01.2017 12:00","n/e","331","n/e","2711"
"07.01.2017 12:00 - 07.01.2017 13:00","n/e","348","n/e","2431"
"07.01.2017 13:00 - 07.01.2017 14:00","n/e","0","n/e","3100"
"07.01.2017 14:00 - 07.01.2017 15:00","n/e","0","n/e","3100"
"07.01.2017 15:00 - 07.01.2017 16:00","n/e","126","n/e","3100"
"07.01.2017 16:00 - 07.01.2017 17:00","n/e","449","n/e","3100"
"07.01.2017 17:00 - 07.01.2017 18:00","n/e","801","n/e","1939"
"07.01.2017 18:00 - 07.01.2017 19:00","n/e","294","n/e","406"
"07.01.2017 19:00 - 07.01.2017 20:00","n/e","35","n/e","610"
"07.01.2017 20:00 - 07.01.2017 21:00","n/e","13","n/e","3100"
"07.01.2017 21:00 - 07.01.2017 22:00","n/e","0","n/e","3100"
"07.01.2017 22:00 - 07.01.2017 23:00","n/e","0","n/e","3100"
"07.01.2017 23:00 - 08.01.2017 00:00","n/e","304","n/e","2356"
"08.01.2017 00:00 - 08.01.2017 01:00","n/e","30","n/e","2365"
"08.01.2017 01:00 - 08.01.2017 02:00","n/e","30","n/e","2140"
"08.01.2017 02:00 - 08.01.2017 03:00","n/e","50","n/e","1418"
"08.01.2017 03:00 - 08.01.2017 04:00","n/e","16","n/e","2714"
"08.01.2017 04:00 - 08.01.2017 05:00","n/e","50","n/e","2850"
"08.01.2017 05:00 - 08.01.2017 06:00","n/e","50","n/e","2728"
"08.01.2017 06:00 - 08.01.2017 07:00","n/e","300","n/e","2850"
"08.01.2017 07:00 - 08.01.2017 08:00","n/e","371","n/e","2663"
"08.01.2017 08:00 - 08.01.2017 09:00","n/e","138","n/e","1962"
"08.01.2017 09:00 - 08.01.2017 10:00","n/e","164","n/e","1876"
"08.01.2017 10:00 - 08.01.2017 11:00","n/e","181","n/e","2754"
"08.01.2017 11:00 - 08.01.2017 12:00","n/e","19","n/e","2529"
"08.01.2017 12:00 - 08.01.2017 13:00","n/e","0","n/e","1532"
"08.01.2017 13:00 - 08.01.2017 14:00","n/e","128","n/e","2657"
"08.01.2017 14:00 - 08.01.2017 15:00","n/e","0","n/e","2850"
"08.01.2017 15:00 - 08.01.2017 16:00","n/e","208","n/e","2825"
"08.01.2017 16:00 - 08.01.2017 17:00","n/e","60","n/e","1164"
"08.01.2017 17:00 - 08.01.2017 18:00","n/e","855","n/e","126"
"08.01.2017 18:00 - 08.01.2017 19:00","n/e","518","n/e","350"
"08.01.2017 19:00 - 08.01.2017 20:00","n/e","2202","n/e","771"
"08.01.2017 20:00 - 08.01.2017 21:00","n/e","297","n/e","2205"
"08.01.2017 21:00 - 08.01.2017 22:00","n/e","196","n/e","3045"
"08.01.2017 22:00 - 08.01.2017 23:00","n/e","344","n/e","3057"
"08.01.2017 23:00 - 09.01.2017 00:00","n/e","174","n/e","2216"
"09.01.2017 00:00 - 09.01.2017 01:00","n/e","0","n/e","1474"
"09.01.2017 01:00 - 09.01.2017 02:00","n/e","11","n/e","2164"
"09.01.2017 02:00 - 09.01.2017 03:00","n/e","0","n/e","2231"
"09.01.2017 03:00 - 09.01.2017 04:00","n/e","0","n/e","2850"
"09.01.2017 04:00 - 09.01.2017 05:00","n/e","0","n/e","2850"
"09.01.2017 05:00 - 09.01.2017 06:00","n/e","79","n/e","1477"
"09.01.2017 06:00 - 09.01.2017 07:00","n/e","1031","n/e","100"
"09.01.2017 07:00 - 09.01.2017 08:00","n/e","2086","n/e","500"
"09.01.2017 08:00 - 09.01.2017 09:00","n/e","2350","n/e","389"
"09.01.2017 09:00 - 09.01.2017 10:00","n/e","2350","n/e","495"
"09.01.2017 10:00 - 09.01.2017 11:00","n/e","2033","n/e","435"
"09.01.2017 11:00 - 09.01.2017 12:00","n/e","1817","n/e","844"
"09.01.2017 12:00 - 09.01.2017 13:00","n/e","1388","n/e","964"
"09.01.2017 13:00 - 09.01.2017 14:00","n/e","1317","n/e","829"
"09.01.2017 14:00 - 09.01.2017 15:00","n/e","1916","n/e","787"
"09.01.2017 15:00 - 09.01.2017 16:00","n/e","1486","n/e","884"
"09.01.2017 16:00 - 09.01.2017 17:00","n/e","1156","n/e","553"
"09.01.2017 17:00 - 09.01.2017 18:00","n/e","1712","n/e","884"
"09.01.2017 18:00 - 09.01.2017 19:00","n/e","2399","n/e","624"
"09.01.2017 19:00 - 09.01.2017 20:00","n/e","1710","n/e","953"
