2019-2022;2020;2021;Mean
14;13,8;11,8;13,2
9,7;11;12,9;11,2
6,9;13,3;12;10,73333333
13;13,4;12,2;12,86666667
13,2;13,3;13,2;13,23333333
9,9;14,1;15;13
13,7;15,1;15,9;14,9
10,6;16,2;15,2;14
11,6;16,6;19,9;16,03333333
11,8;13,8;21,8;15,8
10,1;5,2;18,5;11,26666667
10,6;5,5;9;8,366666667
10,1;8,4;10;9,5
12,5;13,8;14,8;13,7
12,8;16,5;14,1;14,46666667
16,8;19,5;11,9;16,06666667
18,6;16,3;8,2;14,36666667
17,9;14,1;4;14,36666667
13,9;15;4,8;
;16;;
