2019-2022;2020;2021;Mean;Mean;Mean;DE
2,4;1,6;0,9;1,633333333;1,933333333;2,266666667;1,944444444
0;0,9;0,6;0,5;0,366666667;2;0,955555556
0;0,6;0;0,2;0,033333333;1,2;0,477777778
0;0,7;0,4;0,366666667;0,666666667;0,666666667;0,566666667
0;1,6;0,2;0,6;2,3;1,1;1,333333333
0,2;2,5;0,1;0,933333333;1,9;0,866666667;1,233333333
0;2,2;0,2;0,8;1,133333333;1,9;1,277777778
1;0,9;0,3;0,733333333;1,466666667;2,1;1,433333333
0;0,3;0,2;0,166666667;0,966666667;1,433333333;0,855555556
0;0,8;0;0,266666667;0,7;0,966666667;0,644444445
0;0,2;0;0,066666667;0,366666667;0,833333333;0,422222222
0;0,4;1,2;0,533333333;1,166666667;1,066666667;0,922222222
0;0;1,5;0,5;0,733333333;1,433333333;0,888888889
0;0;0,1;0,033333333;0;1;0,344444444
0;0,2;0,8;0,333333333;0,033333333;0,966666667;0,444444444
0,1;0,4;0;0,166666667;0,3;1,166666667;0,544444445
0;0,2;0;0,066666667;0,366666667;0,433333333;0,288888889
0;0;0;0;0,1;0,333333333;0,144444444
0;0;0;0;0,233333333;0,5;0,244444444
0;0;0;0;0,3;0,633333333;0,311111111
0,1;0,2;0;0,1;1,1;0,4;0,533333333
0,1;0,5;0,5;0,366666667;0,566666667;0,333333333;0,422222222
0;0,1;0,2;0,1;0,5;0,233333333;0,277777778
0;0,4;0;0,133333333;0,2;0,533333333;0,288888889
0;0;0,1;0,033333333;0,2;0,533333333;0,255555555
0;0;0,3;0,1;0,066666667;0,766666667;0,311111111
0,3;0;0;0,1;0,2;0,266666667;0,188888889
0,3;0;0;0,1;0,1;0,4;0,2
0;0;0;0;0,3;0,666666667;0,322222222
0;0,3;0,2;0,166666667;0,8;0,7;0,555555556
0,2;0;0,1;0,1;0,466666667;0,633333333;0,4
1;0;0,3;0,433333333;0,7;0,766666667;0,633333333
1;0;0;0,333333333;0,733333333;0,433333333;0,5
0;0,2;0;0,066666667;0,233333333;1,033333333;0,444444444
0,3;0;0;0,1;0;0,5;0,2
1,1;0,2;0;0,433333333;0,533333333;0,033333333;0,333333333
1,3;1,2;0;0,833333333;1,233333333;0,9;0,988888889
1,8;1,1;0;0,966666667;1;1,266666667;1,077777778
1,6;0,6;0,2;0,8;0,633333333;1,3;0,911111111
0,9;0,1;0;0,333333333;0,066666667;1;0,466666667
0;1,7;0;0,566666667;0,7;0,866666667;0,711111111
0;1,4;0;0,466666667;0,666666667;1,2;0,777777778
0;0,9;0;0,3;0,633333333;1,266666667;0,733333333
0,3;0,7;0;0,333333333;0,4;1,233333333;0,655555555
0,4;0;0;0,133333333;0,466666667;0,733333333;0,444444444
