2019-2022;2020;2021;Mean
5,4;13,3;13,6;10,76666667
9,8;12,1;13,3;11,73333333
13,9;14,9;8,5;12,43333333
14,3;16,5;7,2;12,66666667
13,1;9,5;12,5;11,7
9,8;11,4;12,4;11,2
13,3;10,8;11,2;11,76666667
16;10,1;11,8;12,63333333
10,7;12,2;12,6;11,83333333
6,7;12,9;11,3;10,3
6;12;10,9;9,633333333
8,8;13,1;13,2;11,7
11,2;14,6;13,1;12,96666667
10,6;16,1;12,2;12,96666667
11;13,5;8,5;11
11,2;9,3;6,7;9,066666667
9,2;8,4;7,7;8,433333333
8;6,9;6,5;7,133333333
8;8;6,9;7,633333333
3,2;8,7;8,2;6,7
7,8;6,7;11,2;8,566666667
6,5;9,9;10,2;8,866666667
6,1;6,8;12,3;8,4
8,4;6,5;18;10,96666667
7,6;7,9;17,4;10,96666667
7,6;2,3;13;7,633333333
7,3;4,3;6,8;6,133333333
8,4;9,5;12,3;10,06666667
10,8;12,6;13,7;12,36666667
10,4;12;9,9;10,76666667
15;11;6,7;10,9
15;12,4;5,5;10,96666667
13,2;13,4;1,7;9,433333333
12,7;12,2;2,1;
;13;;
