2019-2022;2020;2021;Mean;Mean;Mean;DE
3,3;2;3,3;2,866666667;1,5;3,633333333;2,666666667
4,8;0,1;4;2,966666667;2,266666667;4,2;3,144444445
5,3;1,3;5,1;3,9;4,266666667;4,8;4,322222222
5,1;1,8;4,8;3,9;4,433333333;4,5;4,277777778
7,7;4,2;3,4;5,1;5,4;5,8;5,433333333
5,2;5,8;4,1;5,033333333;3,7;4,6;4,444444444
7;4,6;4,5;5,366666667;4,6;4,3;4,755555556
7,6;4,4;5,5;5,833333333;5,766666667;5,666666667;5,755555556
9,2;4;4,6;5,933333333;7,2;6,866666667;6,666666667
10,3;3,7;3,2;5,733333333;8,7;8,433333333;7,622222222
10,3;4,5;4,1;6,3;7,4;7,566666667;7,088888889
7,7;2,3;4,5;4,833333333;4,366666667;6,2;5,133333333
3,6;4,8;2,8;3,733333333;4,133333333;6,666666667;4,844444444
2,2;7,1;4,3;4,533333333;4,266666667;7,666666667;5,488888889
5,6;5,8;5,6;5,666666667;4,766666667;5,266666667;5,233333334
2;6,2;4,3;4,166666667;4,266666667;4,433333333;4,288888889
4,2;7,6;0,5;4,1;5,3;3,533333333;4,311111111
4,2;7,8;1,9;4,633333333;4,7;4,033333333;4,455555555
1,9;4;2,2;2,7;2,9;4,066666667;3,222222222
4;1,4;0,6;2;3,366666667;3,3;2,888888889
5;0;1,3;2,1;4,066666667;3,733333333;3,3
6,1;1,9;2,4;3,466666667;4,966666667;5,3;4,577777778
3,6;4;2,8;3,466666667;5,233333333;5,866666667;4,855555556
4;5,7;1,3;3,666666667;5,333333333;6,7;5,233333333
7,7;6,1;3,2;5,666666667;6,433333333;7,233333333;6,444444444
4,9;6,2;4,8;5,3;5,833333333;7,733333333;6,288888889
5,9;6,7;5,5;6,033333333;5,633333333;6,733333333;6,133333333
0,8;7,2;6,2;4,733333333;5,566666667;7,1;5,8
1,2;6,9;7,8;5,3;4,433333333;6,633333333;5,455555555
1,8;4,9;8,1;4,933333333;5,533333333;6,133333333;5,533333333
1,5;5;6,5;4,333333333;5,566666667;5,666666667;5,188888889
2,3;5,1;2,9;3,433333333;3,5;5,266666667;4,066666667
4,3;4,7;0,4;3,133333333;3,6;4,766666667;3,833333333
