2019-2022;2020;2021;Mean;Mean;NE
0,7;0,1;0,3;0,366666667;0,6;0,483333334
0,6;0;0,2;0,266666667;0,1;0,183333334
1,1;0,3;0,1;0,5;0,066666667;0,283333334
0;0,5;0,6;0,366666667;0,366666667;0,366666667
0,1;1,2;0,2;0,5;0,433333333;0,466666667
0;1,6;0,1;0,566666667;0,666666667;0,616666667
0;1,3;0,1;0,466666667;0,766666667;0,616666667
0;0,6;0;0,2;0,233333333;0,216666667
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0,1;0,1;0,066666667;0;0,033333334
0;0;0,5;0,166666667;0,066666667;0,116666667
0;0,4;0,5;0,3;0,166666667;0,233333334
0;1,1;0;0,366666667;0,1;0,233333334
0;0,1;0,5;0,2;0,033333333;0,116666667
0;0;1,8;0,6;0,3;0,45
0;0,1;1,5;0,533333333;0,566666667;0,55
0;0,8;1,1;0,633333333;0,6;0,616666667
0;1,3;0,8;0,7;0,666666667;0,683333334
0,3;0,1;0;0,133333333;0;0,066666667
0;0;0,2;0,066666667;0;0,033333334
0;0;0;0;0;0
0;0;0,1;0,033333333;0,033333333;0,033333333
0;0;0,1;0,033333333;0,033333333;0,033333333
0,1;0;0,8;0,3;0,133333333;0,216666667
0;0;0,4;0,133333333;0,133333333;0,133333333
0;0;0,1;0,033333333;0,433333333;0,233333333
0,2;0;0;0,066666667;0,333333333;0,2
1,3;0;0;0,433333333;0;0,216666667
1,3;0;0,1;0,466666667;0,3;0,383333334
0;0;0,4;0,133333333;0,2;0,166666667
0,9;0;0,1;0,333333333;0;0,166666667
0;0;0,1;0,033333333;0,066666667;0,05
0;0;0,4;0,133333333;0,233333333;0,183333333
0,3;0;0,7;0,333333333;0,5;0,416666667
0,6;0;0;0,2;0,433333333;0,316666667
1,5;0;0;0,5;0,2;0,35
1,2;0;0,1;0,433333333;0,233333333;0,333333333
0,9;0;0,3;0,4;0,333333333;0,366666667
0,1;0,3;0,2;0,2;0;0,1
0;0;1,1;0,366666667;0,366666667;0,366666667
0;1,1;0,1;0,4;0,2;0,3
0;0,3;0;0,1;0,033333333;0,066666667
0;0,7;0;0,233333333;0,366666667;0,3
0;0,9;0,7;0,533333333;0,666666667;0,6
0,8;0,9;0,1;0,6;0,633333333;0,616666667
0,4;1,5;0,3;0,733333333;1,233333333;0,983333333
0,3;2,5;0,8;1,2;1,3;1,25
1,1;0,9;0,5;0,833333333;0,7;0,766666667
0,1;0;1,1;0,4;0,933333333;0,666666667
0,6;1,1;0,8;0,833333333;1,3;1,066666667
1,2;2,1;0,2;1,166666667;1,333333333;1,25
1,9;1,7;0,1;1,233333333;1,333333333;1,283333333
1,1;0;0;0,366666667;1;0,683333334
2;0,4;0;0,8;1,1;0,95
2,8;2,4;0;1,733333333;0,9;1,316666667
2,2;1,4;0,3;1,3;0,666666667;0,983333334
0,7;1,3;1,1;1,033333333;0,933333333;0,983333333
0,2;0,6;0,5;0,433333333;1,166666667;0,8
0,3;0,9;0;0,4;0,933333333;0,666666667
1,9;0;0,3;0,733333333;0,633333333;0,683333333
1,6;0;0,4;0,666666667;1,033333333;0,85
1,5;1,3;1,1;1,3;1,866666667;1,583333334
2,5;2,1;0,8;1,8;2,333333333;2,066666667
2,6;1,6;1,9;2,033333333;2,7;2,366666667
2,4;1,1;3,3;2,266666667;2,6;2,433333334
3,2;1,4;2;2,2;1,833333333;2,016666667
1,9;2,6;0,7;1,733333333;1;1,366666667
0,5;0,6;0,3;0,466666667;0,233333333;0,35
0,3;1,4;0;0,566666667;0,533333333;0,55
0,4;4,2;0,3;1,633333333;1,366666667;1,5
0,4;2,8;0,5;1,233333333;1,233333333;1,233333333
0,2;0,8;1,9;0,966666667;0,8;0,883333334
