,Tech. 0,Tech. 1,Tech. 2,Tech. 3,Tech. 4,Tech. 5,Tech. 6,Tech. 7
4729,0.5,0.7734259377949727,0.45,0.5,0.1733874993141191,0.025413179337339473,0.7843933678579724,0.07902835339693755
4730,0.5,0.7734259377949727,0.5,0.5,0.15882004173867625,0.02507879539869027,0.7839905368223559,0.07984447022331556
4731,0.5,0.7734259377949727,0.5,0.5,0.14800911637273198,0.025413179337339473,0.7837219827986117,0.08207266776100232
4732,0.5,0.7734259377949727,0.5,0.5,0.14260365368975983,0.02574756327598868,0.7835877057867395,0.08430086529868906
4733,0.5,0.7734259377949727,0.425,0.5,0.1347247952965773,0.027085099030585494,0.7834534287748673,0.09118411254005952
4734,0.44999999999999996,0.7734259377949727,0.35,0.5,0.1656286563683582,0.02976017053977912,0.7839905368223559,0.10495060702280043
4735,0.35,0.7734259377949727,0.25,0.5,0.18750943929303637,0.032100858110323545,0.7842590908461002,0.11750367542254286
4736,0.25,0.7734259377949727,0.25,0.5,0.19832036465898065,0.03343839386492036,0.7845276448698446,0.12134260829984857
4737,0.19999999999999996,0.7734259377949727,0.25,0.5,0.2199422153908692,0.031766474171674344,0.7850647529173332,0.11426070643016786
4738,0.16000000000000003,0.7734259377949727,0.25,0.5,0.2685913795376185,0.030094554478428327,0.7862732460241827,0.10413449019642242
4739,0.16000000000000003,0.7734259377949727,0.275,0.5,0.3180650089211046,0.028757018723831507,0.787481739131032,0.09826601440974021
4740,0.16000000000000003,0.7734259377949727,0.275,0.5,0.3883360237997424,0.028422634785182307,0.7892273402853701,0.09400827396267696
4741,0.25,0.7734259377949727,0.3,0.5,0.48645881732997787,0.027753866907883895,0.791644326499069,0.08955187888730345
4742,0.25,0.7734259377949727,0.325,0.5,0.5845816108602131,0.02675071509193629,0.7940613127127678,0.08794114354768452
4743,0.25,0.7734259377949727,0.35,0.5,0.6556770909755878,0.026416331153287082,0.7958069138671059,0.08469817455530952
4744,0.16000000000000003,0.7734259377949727,0.375,0.5,0.6835288696271854,0.02574756327598868,0.7964782989264667,0.08227132238931255
4745,0.19999999999999996,0.7734259377949727,0.35,0.5,0.6718934790245042,0.025413179337339473,0.7962097449027223,0.0800431248516258
4746,0.35,0.7734259377949727,0.3,0.5,0.5945680709894207,0.02507879539869027,0.7943298667365122,0.07984447022331556
4747,0.44999999999999996,0.7734259377949727,0.3,0.5,0.4594315039151171,0.02474441146004107,0.7909729414397082,0.0806605870496936
4748,0.5,0.7734259377949727,0.4,0.5,0.40326927534937074,0.02507879539869027,0.7894958943091145,0.08187401313269209
4749,0.5,0.7734259377949727,0.475,0.5,0.3192552681320268,0.025413179337339473,0.7873474621191598,0.08410221067037885
4750,0.5,0.7734259377949727,0.475,0.5,0.2616438481625686,0.02574756327598868,0.7862732460241827,0.08430086529868906
4751,0.5,0.7734259377949727,0.475,0.5,0.21205020333166089,0.02574756327598868,0.7853333069410776,0.08227132238931255
4752,0.5,0.7734259377949727,0.425,0.5,0.1952689637714319,0.0202629791087357,0.9807200549283979,0.07799820654887671
4753,0.5,0.7734259377949727,0.45,0.5,0.18330000292087353,0.0202629791087357,0.9804022536360089,0.07596866363950018
4754,0.5,0.7734259377949727,0.5,0.5,0.16575879426340437,0.019996360962568127,0.9799255516974252,0.07682503954163397
4755,0.5,0.7734259377949727,0.5,0.5,0.1529653681761092,0.0202629791087357,0.9796077504050362,0.07901297800356497
