2019-2022;2020;2021;Mean;Mean;BEL
0;0,1;0,2;0,1;0,3;0,2
0;1,7;0;0,566666667;0,733333333;0,65
0;1,1;0;0,366666667;0,7;0,533333334
0,2;0,8;0;0,333333333;0,633333333;0,483333333
0,8;0,1;0;0,3;0,733333333;0,516666667
0,2;0,7;0;0,3;0,666666667;0,483333334
1;0,2;0,1;0,433333333;0,766666667;0,6
0;0;0;0;0,1;0,05
0;0,1;0;0,033333333;0,066666667;0,05
0;0,5;0,1;0,2;0,266666667;0,233333334
0;0,2;0,3;0,166666667;0,3;0,233333334
0,1;1,1;0;0,4;0,766666667;0,583333334
0;1,4;0,4;0,6;0,933333333;0,766666667
0;1,4;0;0,466666667;0,466666667;0,466666667
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0;0
0;0;0;0;0,066666667;0,033333334
0,3;0;0,1;0,133333333;0,2;0,166666667
0,1;0,3;0,2;0,2;0,5;0,35
0;1,1;0;0,366666667;0,2;0,283333334
0;0;0,4;0,133333333;0,333333333;0,233333333
0;0;0,3;0,1;0,4;0,25
0;0,1;0,6;0,233333333;0,333333333;0,283333333
0,2;1,2;0,8;0,733333333;0,8;0,766666667
0;0,7;0;0,233333333;0,4;0,316666667
0;0,1;0;0,033333333;0,2;0,116666667
0;0,3;0,1;0,133333333;0,133333333;0,133333333
0;0;0,1;0,033333333;0,166666667;0,1
0;0;0,2;0,066666667;0,233333333;0,15
0;0;0,1;0,033333333;0,166666667;0,1
0;0;0,9;0,3;0,266666667;0,283333334
0,4;0;0,7;0,366666667;0,4;0,383333334
1,5;0;0;0,5;0,533333333;0,516666667
1,3;0;0,2;0,5;0,8;0,65
0;0;0;0;0,033333333;0,016666667
0,3;0;0,4;0,233333333;0,433333333;0,333333333
0;0;1,4;0,466666667;0,666666667;0,566666667
0;0;0;0;0,133333333;0,066666667
0,5;0;0;0,166666667;0,266666667;0,216666667
0,6;0,1;0;0,233333333;0,366666667;0,3
1,8;0;0,3;0,7;0,733333333;0,716666667
1,5;0;0;0,5;0,333333333;0,416666667
1,3;0;0;0,433333333;0,366666667;0,4
0,4;0;0,5;0,3;0,5;0,4
0,2;0,1;0,7;0,333333333;0,666666667;0,5
0;0,1;0;0,033333333;0,233333333;0,133333333
0;0;0,5;0,166666667;0,433333333;0,3
0;0,5;0,1;0,2;0,533333333;0,366666667
0;0,1;0,2;0,1;0,4;0,25
0,6;1,3;0;0,633333333;0,933333333;0,783333333
1,1;0,8;0,1;0,666666667;0,833333333;0,75
0;0,4;0;0,133333333;0,5;0,316666667
1,3;1,9;0,1;1,1;1,633333333;1,366666667
0,3;1,6;0,8;0,9;1,333333333;1,116666667
0,3;0,9;0,8;0,666666667;0,833333333;0,75
1,9;0;0,6;0,833333333;1;0,916666667
2,8;0,2;1;1,333333333;1,6;1,466666667
1;1,6;0,8;1,133333333;1,5;1,316666667
1,4;2;0,2;1,2;1,566666667;1,383333334
2,8;0,1;0,1;1;1,3;1,15
3,1;0;0;1,033333333;0,933333333;0,983333333
1;1,2;0;0,733333333;0,566666667;0,65
0;2,2;0,6;0,933333333;1,2;1,066666667
0;1,2;1,3;0,833333333;0,9;0,866666667
1,6;0,7;0,9;1,066666667;1,266666667;1,166666667
2,5;1,2;0,1;1,266666667;0,933333333;1,1
0,4;0,1;1;0,5;0,666666667;0,583333334
1,4;0;1,8;1,066666667;0,9;0,983333334
3,3;1,1;1,7;2,033333333;2,3;2,166666667
2,7;2;0,9;1,866666667;2,8;2,333333334
3,3;1;2;2,1;2,5;2,3
2,8;0,4;3,1;2,1;2,4;2,25
0,9;1,6;3,7;2,066666667;1,966666667;2,016666667
0,1;1,8;1,8;1,233333333;1,366666667;1,3
0,4;0,5;0,1;0,333333333;0,533333333;0,433333333
0,6;1,5;0,4;0,833333333;1,233333333;1,033333333
0,2;4,6;0,2;1,666666667;1,933333333;1,8
0,6;3,1;0,4;1,366666667;1,9;1,633333334
0,6;1,3;2;1,3;1,933333333;1,616666667
0,3;2;2,8;1,7;2,266666667;1,983333334
0,6;0,9;3,8;1,766666667;2,3;2,033333334
0,4;0,5;1,6;0,833333333;1,2;1,016666667
4,1;1,4;1,3;2,266666667;2,666666667;2,466666667
4,8;3,8;2,1;3,566666667;3,866666667;3,716666667
3,9;2,9;2;2,933333333;3,2;3,066666667
5,4;3,5;2,4;3,766666667;4,1;3,933333334
4,5;2,9;3,5;3,633333333;4,066666667;3,85
4,9;2;2,6;3,166666667;3,633333333;3,4
1,8;2,9;5;3,233333333;3,7;3,466666667
3,3;1,7;3,8;2,933333333;3,566666667;3,25
2,7;2,6;5,2;3,5;4,033333333;3,766666667
1,2;5,7;2,4;3,1;3,666666667;3,383333334
0,3;5,5;4,1;3,3;3,8;3,55
0,3;4,2;4,8;3,1;3,833333333;3,466666667
0,9;4,9;3,3;3,033333333;3,6;3,316666667
0,6;6,5;4,2;3,766666667;4,466666667;4,116666667
2,5;5,9;7,3;5,233333333;5,6;5,416666667
2;6,6;5,4;4,666666667;5;4,833333334
2,3;7,5;5;4,933333333;4,9;4,916666667
2,9;5,1;0,3;2,766666667;3,333333333;3,05
4,8;5;0,2;3,333333333;3,466666667;3,4
