2019-2022;2020;2021;Mean
9,5;6,7;11,6;9,266666667
9,1;7,3;9,4;8,6
7,4;7,5;10,6;8,5
5,2;8,3;11,3;8,266666667
5,1;7,4;12,9;8,466666667
6,1;8,8;12,3;9,066666667
9;10,3;12,7;10,66666667
12,5;13,3;7,8;11,2
14,2;13,7;7,5;11,8
12;8;13,1;11,03333333
12,4;9,3;12,3;11,33333333
13,4;9,8;10,8;11,33333333
14,7;10,2;11,7;12,2
10,2;12,7;13,1;12
6,7;15,6;11;11,1
6,4;14;10,1;10,16666667
8,9;14,6;11,9;11,8
11;14;13,2;12,73333333
9,8;12,8;10,8;11,13333333
11,3;11,4;7,3;10
9,8;7,7;6,6;8,033333333
9,1;9;7,5;8,533333333
8;6,2;6,7;6,966666667
8,2;7;7;7,4
4;7,4;10,2;7,2
7,9;6,5;9;7,8
3,5;6,9;9,7;6,7
4,6;6,6;10,4;7,2
7,9;7;16,4;10,43333333
7,5;7,2;17,1;10,6
7,7;2,8;12,6;7,7
6,7;4;7,4;6,033333333
8,6;9,8;12,4;10,26666667
11,6;12,5;11,9;12
9,4;11,8;7;9,4
12,3;10,7;5,7;9,566666667
14,1;12,7;5,1;10,63333333
10,3;12,8;1,7;8,266666667
12,2;12,3;2,5;
;13,1;;
