"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"07.01.2016 18:00 - 07.01.2016 19:00","n/e","0","n/e","3200"
"07.01.2016 19:00 - 07.01.2016 20:00","n/e","0","n/e","3200"
"07.01.2016 20:00 - 07.01.2016 21:00","n/e","0","n/e","3200"
"07.01.2016 21:00 - 07.01.2016 22:00","n/e","0","n/e","3200"
"07.01.2016 22:00 - 07.01.2016 23:00","n/e","0","n/e","3200"
"07.01.2016 23:00 - 08.01.2016 00:00","n/e","0","n/e","3200"
"08.01.2016 00:00 - 08.01.2016 01:00","n/e","0","n/e","3200"
"08.01.2016 01:00 - 08.01.2016 02:00","n/e","0","n/e","3200"
"08.01.2016 02:00 - 08.01.2016 03:00","n/e","0","n/e","3200"
"08.01.2016 03:00 - 08.01.2016 04:00","n/e","1","n/e","3201"
"08.01.2016 04:00 - 08.01.2016 05:00","n/e","1","n/e","3201"
"08.01.2016 05:00 - 08.01.2016 06:00","n/e","0","n/e","3200"
"08.01.2016 06:00 - 08.01.2016 07:00","n/e","0","n/e","3200"
"08.01.2016 07:00 - 08.01.2016 08:00","n/e","0","n/e","3200"
"08.01.2016 08:00 - 08.01.2016 09:00","n/e","0","n/e","3200"
"08.01.2016 09:00 - 08.01.2016 10:00","n/e","0","n/e","3200"
"08.01.2016 10:00 - 08.01.2016 11:00","n/e","0","n/e","3200"
"08.01.2016 11:00 - 08.01.2016 12:00","n/e","1","n/e","3201"
"08.01.2016 12:00 - 08.01.2016 13:00","n/e","0","n/e","3200"
"08.01.2016 13:00 - 08.01.2016 14:00","n/e","1","n/e","3201"
"08.01.2016 14:00 - 08.01.2016 15:00","n/e","0","n/e","3200"
"08.01.2016 15:00 - 08.01.2016 16:00","n/e","0","n/e","3200"
"08.01.2016 16:00 - 08.01.2016 17:00","n/e","0","n/e","3200"
"08.01.2016 17:00 - 08.01.2016 18:00","n/e","0","n/e","3200"
"08.01.2016 18:00 - 08.01.2016 19:00","n/e","0","n/e","3200"
"08.01.2016 19:00 - 08.01.2016 20:00","n/e","0","n/e","3200"
"08.01.2016 20:00 - 08.01.2016 21:00","n/e","0","n/e","3200"
"08.01.2016 21:00 - 08.01.2016 22:00","n/e","0","n/e","3200"
"08.01.2016 22:00 - 08.01.2016 23:00","n/e","0","n/e","3200"
"08.01.2016 23:00 - 09.01.2016 00:00","n/e","0","n/e","3200"
"09.01.2016 00:00 - 09.01.2016 01:00","n/e","0","n/e","3200"
"09.01.2016 01:00 - 09.01.2016 02:00","n/e","0","n/e","3200"
"09.01.2016 02:00 - 09.01.2016 03:00","n/e","0","n/e","3200"
"09.01.2016 03:00 - 09.01.2016 04:00","n/e","0","n/e","3200"
"09.01.2016 04:00 - 09.01.2016 05:00","n/e","0","n/e","3200"
"09.01.2016 05:00 - 09.01.2016 06:00","n/e","0","n/e","3200"
"09.01.2016 06:00 - 09.01.2016 07:00","n/e","0","n/e","3200"
"09.01.2016 07:00 - 09.01.2016 08:00","n/e","0","n/e","3200"
"09.01.2016 08:00 - 09.01.2016 09:00","n/e","0","n/e","3200"
"09.01.2016 09:00 - 09.01.2016 10:00","n/e","0","n/e","3200"
"09.01.2016 10:00 - 09.01.2016 11:00","n/e","0","n/e","3200"
"09.01.2016 11:00 - 09.01.2016 12:00","n/e","0","n/e","3200"
"09.01.2016 12:00 - 09.01.2016 13:00","n/e","0","n/e","3200"
"09.01.2016 13:00 - 09.01.2016 14:00","n/e","0","n/e","3200"
"09.01.2016 14:00 - 09.01.2016 15:00","n/e","0","n/e","3200"
"09.01.2016 15:00 - 09.01.2016 16:00","n/e","0","n/e","3200"
"09.01.2016 16:00 - 09.01.2016 17:00","n/e","0","n/e","3200"
"09.01.2016 17:00 - 09.01.2016 18:00","n/e","0","n/e","3200"
"09.01.2016 18:00 - 09.01.2016 19:00","n/e","0","n/e","3200"
"09.01.2016 19:00 - 09.01.2016 20:00","n/e","0","n/e","3200"
"09.01.2016 20:00 - 09.01.2016 21:00","n/e","0","n/e","3200"
"09.01.2016 21:00 - 09.01.2016 22:00","n/e","0","n/e","3200"
"09.01.2016 22:00 - 09.01.2016 23:00","n/e","0","n/e","3200"
"09.01.2016 23:00 - 10.01.2016 00:00","n/e","0","n/e","3200"
"10.01.2016 00:00 - 10.01.2016 01:00","n/e","100","n/e","3170"
"10.01.2016 01:00 - 10.01.2016 02:00","n/e","59","n/e","3200"
"10.01.2016 02:00 - 10.01.2016 03:00","n/e","161","n/e","3200"
"10.01.2016 03:00 - 10.01.2016 04:00","n/e","20","n/e","3200"
"10.01.2016 04:00 - 10.01.2016 05:00","n/e","173","n/e","3182"
"10.01.2016 05:00 - 10.01.2016 06:00","n/e","0","n/e","2967"
"10.01.2016 06:00 - 10.01.2016 07:00","n/e","10","n/e","2939"
"10.01.2016 07:00 - 10.01.2016 08:00","n/e","174","n/e","3039"
"10.01.2016 08:00 - 10.01.2016 09:00","n/e","244","n/e","3224"
"10.01.2016 09:00 - 10.01.2016 10:00","n/e","207","n/e","3212"
"10.01.2016 10:00 - 10.01.2016 11:00","n/e","68","n/e","3208"
"10.01.2016 11:00 - 10.01.2016 12:00","n/e","50","n/e","3250"
"10.01.2016 12:00 - 10.01.2016 13:00","n/e","40","n/e","3240"
"10.01.2016 13:00 - 10.01.2016 14:00","n/e","393","n/e","3493"
"10.01.2016 14:00 - 10.01.2016 15:00","n/e","65","n/e","3265"
"10.01.2016 15:00 - 10.01.2016 16:00","n/e","0","n/e","3200"
"10.01.2016 16:00 - 10.01.2016 17:00","n/e","0","n/e","3200"
"10.01.2016 17:00 - 10.01.2016 18:00","n/e","0","n/e","3200"
"10.01.2016 18:00 - 10.01.2016 19:00","n/e","0","n/e","3200"
"10.01.2016 19:00 - 10.01.2016 20:00","n/e","0","n/e","3200"
"10.01.2016 20:00 - 10.01.2016 21:00","n/e","0","n/e","3200"
"10.01.2016 21:00 - 10.01.2016 22:00","n/e","0","n/e","3200"
"10.01.2016 22:00 - 10.01.2016 23:00","n/e","0","n/e","3200"
"10.01.2016 23:00 - 11.01.2016 00:00","n/e","0","n/e","3200"
"11.01.2016 00:00 - 11.01.2016 01:00","n/e","0","n/e","3200"
"11.01.2016 01:00 - 11.01.2016 02:00","n/e","0","n/e","3200"
"11.01.2016 02:00 - 11.01.2016 03:00","n/e","10","n/e","3200"
"11.01.2016 03:00 - 11.01.2016 04:00","n/e","0","n/e","3200"
"11.01.2016 04:00 - 11.01.2016 05:00","n/e","29","n/e","3200"
"11.01.2016 05:00 - 11.01.2016 06:00","n/e","17","n/e","3205"
"11.01.2016 06:00 - 11.01.2016 07:00","n/e","0","n/e","3200"
"11.01.2016 07:00 - 11.01.2016 08:00","n/e","0","n/e","3200"
"11.01.2016 08:00 - 11.01.2016 09:00","n/e","0","n/e","3200"
"11.01.2016 09:00 - 11.01.2016 10:00","n/e","0","n/e","3200"
"11.01.2016 10:00 - 11.01.2016 11:00","n/e","1","n/e","3201"
"11.01.2016 11:00 - 11.01.2016 12:00","n/e","1","n/e","3201"
"11.01.2016 12:00 - 11.01.2016 13:00","n/e","1","n/e","3201"
