,0
848,4900.5
849,5031.25
850,5636.75
851,6281.75
852,6989.5
853,7534.25
854,8091.75
855,8061.75
856,8114.25
857,6300.75
858,5662.25
859,5597.25
860,6935.75
861,7600.25
862,7213.25
863,6492.75
864,6474.75
865,6530.75
866,6555.25
867,6945.25
868,7464.0
869,7819.75
870,7807.25
871,7280.75
872,7488.25
873,8283.0
874,8311.75
875,8186.75
876,8260.0
877,8629.0
878,8773.0
879,8707.5
880,8896.0
881,8116.0
882,7433.25
883,7029.75
884,7869.0
885,8400.75
886,8087.25
887,7406.0
888,7282.75
889,7109.5
890,7193.75
891,7516.0
892,7658.0
893,7920.0
894,8330.75
895,7643.25
896,7894.75
897,8121.25
898,8142.5
899,8052.25
900,7923.5
901,8471.0
902,8631.5
903,8727.0
904,8651.5
905,8350.25
906,7913.5
907,7621.5
908,7792.5
909,7995.25
910,7405.25
911,7516.5
912,7256.25
913,6743.25
914,6898.75
915,6744.75
916,6771.75
917,7674.75
918,7278.5
919,6851.5
920,5922.0
921,6442.75
922,6506.0
923,6769.75
924,7107.25
925,7243.5
926,7436.25
927,7361.0
928,7625.0
929,6636.5
930,5903.25
931,6183.25
932,6906.25
933,7133.0
934,6954.5
935,6553.75
936,6261.75
937,6290.5
938,6314.0
939,6709.75
940,6847.5
941,6858.75
942,6592.0
943,5998.25
944,5651.25
945,5980.5
946,6306.75
947,6307.5
948,6758.5
949,6852.0
950,7044.75
951,7356.25
952,6913.0
953,6732.75
954,6359.5
955,6142.5
956,6792.5
957,7407.75
958,7153.25
959,7291.5
960,6705.75
961,6886.25
962,6735.5
963,6978.5
964,7065.5
965,6863.0
966,7179.75
967,5869.0
968,6049.0
969,6121.5
970,5943.25
971,6144.5
972,6418.25
973,6632.5
974,6903.75
975,6744.75
976,6840.25
977,6032.0
978,5778.25
979,5918.25
980,6166.75
981,5809.5
982,5639.75
983,5248.5
984,5540.0
985,5859.25
986,5872.5
987,5893.0
988,6191.75
989,6492.25
990,6384.0
991,6167.25
992,5991.0
993,5898.0
994,5897.25
995,6098.25
996,6229.5
997,6477.5
998,6709.75
999,6636.5
1000,7047.5
1001,6860.5
1002,5466.0
1003,5968.75
1004,5850.75
1005,6293.75
1006,5687.25
1007,5534.75
1008,5155.5
1009,5633.25
1010,5467.0
1011,5466.25
1012,5422.25
1013,5302.5
1014,6186.5
1015,4965.75
1016,4675.0
1017,4931.0
1018,5112.25
1019,5850.75
1020,7318.25
1021,7166.0
1022,7076.75
1023,7529.75
1024,7486.5
1025,6927.25
1026,5236.0
1027,6094.5
1028,6494.5
1029,6164.0
1030,5956.5
1031,5801.5
1032,6988.5
1033,7284.5
1034,7294.5
1035,7388.25
1036,7422.75
1037,7311.75
1038,7662.75
1039,6652.0
1040,6268.0
1041,6801.75
1042,7109.25
1043,7278.75
1044,7866.25
1045,8061.75
1046,8320.75
1047,8088.5
1048,7477.0
1049,6896.75
1050,5108.25
1051,5143.25
1052,6669.5
1053,6826.5
1054,6754.25
1055,6763.75
1056,6117.5
1057,6097.5
1058,6176.75
1059,6554.5
1060,6619.75
1061,6561.75
1062,6076.25
1063,4616.0
1064,4576.0
1065,5031.5
1066,6754.0
1067,7714.25
1068,8384.25
1069,8486.75
1070,8429.25
1071,8264.75
1072,7444.0
1073,6272.75
1074,4942.25
1075,4543.0
1076,5897.0
1077,7143.75
1078,6960.0
1079,6749.0
1080,6758.25
1081,6876.75
1082,6809.0
1083,6995.75
1084,7044.75
1085,7474.25
1086,7857.0
1087,6287.0
1088,7226.75
1089,7917.0
1090,9160.5
1091,9818.5
1092,9950.0
1093,10007.5
1094,9896.25
1095,9414.75
1096,9148.25
1097,7699.0
1098,7475.75
1099,8201.0
1100,9125.0
1101,9044.25
1102,8630.25
1103,7907.75
1104,7941.25
1105,7792.75
1106,8525.5
1107,8317.75
1108,8543.75
1109,8749.25
1110,9091.0
1111,8765.0
1112,8226.25
1113,8749.25
1114,9001.75
1115,8595.5
1116,9286.5
1117,9249.5
1118,9456.25
1119,9599.5
1120,9376.5
1121,9541.75
1122,8437.75
1123,8363.5
1124,8996.25
1125,8873.0
1126,8739.75
1127,8483.25
1128,8339.75
1129,7914.0
1130,8308.75
1131,8460.75
1132,8661.5
1133,8913.25
1134,8822.5
1135,8252.0
1136,8465.5
1137,8553.5
1138,9060.25
1139,9296.5
1140,9133.0
1141,9460.75
1142,9654.5
1143,9260.0
1144,8845.75
1145,8207.75
1146,6641.5
1147,6755.5
1148,7659.75
