,0
794,484.75
795,487.0
796,345.25
797,397.0
798,651.75
799,830.5
800,1308.5
801,1143.75
802,1214.75
803,1518.25
804,1974.75
805,1428.75
806,878.5
807,740.75
808,475.0
809,899.5
810,1721.75
811,1849.0
812,1665.0
813,921.75
814,809.5
815,574.25
816,756.0
817,830.5
818,620.5
819,523.0
820,341.5
821,407.5
822,516.25
823,742.25
824,1221.75
825,1060.0
826,664.5
827,789.25
828,1099.5
829,843.25
830,582.0
831,449.75
832,588.5
833,2579.75
834,2695.25
835,2463.25
836,1294.75
837,711.25
838,839.5
839,684.25
840,542.25
841,621.25
842,736.5
843,545.75
844,392.0
845,518.25
846,742.25
847,1441.5
848,1257.5
849,1313.25
850,1374.5
851,1151.25
852,1166.75
853,1174.0
854,957.25
855,829.0
856,1626.75
857,1468.5
858,1705.0
859,1379.25
860,1694.75
861,1111.0
862,1119.25
863,1101.0
864,586.75
865,814.5
866,842.0
867,597.5
868,717.0
869,488.75
870,535.25
871,1318.0
872,1196.25
873,1618.75
874,1352.25
875,1495.25
876,1586.75
877,1399.75
878,1119.0
879,883.75
880,1045.25
881,1499.5
882,1554.25
883,1540.0
884,1240.25
885,888.5
886,753.75
887,826.0
888,602.25
889,508.75
890,377.75
891,399.0
892,464.25
893,422.0
894,460.75
895,1035.75
896,1644.75
897,1605.75
898,1457.5
899,1215.25
900,970.75
901,900.75
902,1115.75
903,766.0
904,1185.5
905,1446.0
906,1814.75
907,1606.25
908,1255.0
909,872.0
910,785.75
911,1032.25
912,834.75
913,591.75
914,864.5
915,712.0
916,692.0
917,731.0
918,1241.5
919,2483.5
920,1545.5
921,1608.5
922,1980.75
923,1775.75
924,1814.75
925,1437.5
926,1902.0
927,1815.25
928,2157.75
929,1157.5
930,1694.25
931,1088.25
932,1526.0
933,984.25
934,1062.5
935,924.75
936,572.25
937,515.75
938,432.5
939,178.75
940,253.75
941,311.75
942,868.25
943,848.0
944,1135.0
945,973.5
946,1172.0
947,1221.0
948,1638.25
949,1554.0
950,1274.75
951,1194.75
952,967.25
953,1816.75
954,1669.25
955,2001.0
956,2605.5
957,650.5
958,1108.75
959,870.5
960,625.5
961,598.25
962,745.5
963,673.25
964,504.5
965,528.0
966,842.5
967,833.5
968,1164.5
969,1039.5
970,1272.5
971,1150.5
972,971.0
973,899.75
974,890.0
975,674.25
976,809.25
977,1321.25
978,2305.25
979,2587.25
980,1945.25
981,851.75
982,1069.0
983,1269.75
984,566.0
985,733.75
986,930.5
987,946.75
988,675.0
989,584.25
990,1347.0
991,2301.0
992,3521.75
993,3582.0
994,3184.0
995,2858.75
996,2806.0
997,2433.5
998,2239.5
999,1989.5
1000,2988.5
1001,3785.5
1002,4288.5
1003,4405.5
1004,2617.5
1005,1357.0
1006,956.75
1007,1188.5
1008,610.75
1009,663.25
1010,541.5
1011,275.0
1012,376.0
1013,236.25
1014,414.25
1015,981.0
1016,1323.25
1017,1296.75
1018,1165.5
1019,854.5
1020,847.0
1021,682.0
1022,361.25
1023,283.5
1024,531.75
1025,929.5
1026,1574.0
1027,1494.75
1028,637.0
1029,292.25
1030,510.25
1031,666.5
1032,197.25
1033,205.0
1034,225.25
1035,245.75
1036,260.5
1037,427.0
1038,678.25
1039,943.5
1040,853.25
1041,806.5
1042,815.25
1043,551.75
1044,524.0
1045,146.25
1046,36.5
1047,38.25
1048,121.75
1049,1124.75
1050,1423.0
1051,1270.75
1052,844.5
1053,444.5
1054,763.5
1055,976.5
1056,514.75
1057,514.5
1058,541.0
1059,519.5
1060,518.5
1061,452.75
1062,909.5
1063,998.75
1064,996.5
1065,901.75
1066,879.0
1067,973.25
1068,593.75
1069,413.5
1070,574.75
1071,374.5
1072,418.5
1073,749.5
1074,881.0
1075,1199.0
1076,937.75
1077,419.0
1078,518.5
1079,532.75
1080,490.0
1081,438.5
1082,455.0
1083,341.25
1084,357.5
1085,349.25
1086,681.75
1087,554.5
1088,681.25
1089,659.25
1090,655.75
1091,757.25
1092,400.0
1093,523.25
1094,291.5
1095,296.75
1096,466.5
1097,392.5
1098,1852.5
1099,2311.25
1100,1065.25
1101,1069.25
1102,1033.75
1103,1002.5
1104,596.25
1105,510.0
1106,401.0
1107,325.0
1108,242.0
1109,220.75
1110,550.5
1111,1744.5
1112,1388.25
1113,1429.75
1114,1470.5
1115,907.0
